instrument,call_year,research_institution,n_granted,amount_granted
SNSF Consolidator Grants,2022,University of Lausanne,2,4429842
SNSF Swiss Postdoctoral Fellowships,2021,Swiss Federal Laboratories for Materials Science and Technology,1,250780
SNSF Starting Grants,2022,University of Neuchatel,0,0
SNSF Starting Grants,2022,Companies/  Private Industry,0,0
SNSF Starting Grants,2023,University of Lucerne,0,0
SNSF Consolidator Grants,2023,University of Geneva,2,3446944
SNSF Advanced Grants,2021,University of Basel,2,4225854
SNSF Swiss Postdoctoral Fellowships,2023,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Swiss Postdoctoral Fellowships,2023,Paul Scherrer Institute,1,232256
SNSF Consolidator Grants,2022,ETH Zurich,3,5265904
SNSF Swiss Postdoctoral Fellowships,2024,Idiap Research Institute,0,0
SNSF Advanced Grants,2024,University of Neuchatel,0,0
SNSF Swiss Postdoctoral Fellowships,2021,University of Neuchatel,1,263432
SNSF Advanced Grants,2022,University of Lausanne,1,2453630
SNSF Swiss Postdoctoral Fellowships,2023,Institute Friedrich Miescher,3,682690
SNSF Swiss Postdoctoral Fellowships,2022,Berne University of Applied Sciences,0,0
SNSF Starting Grants,2023,Paul Scherrer Institute,0,0
SNSF Swiss Postdoctoral Fellowships,2022,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Research Institute of Organic Agriculture,0,0
SNSF Consolidator Grants,2023,Graduate Institute of International and Development Studies,0,0
SNSF Consolidator Grants,2023,Università della Svizzera italiana,0,0
SNSF Advanced Grants,2022,University of Basel,2,4325289
SNSF Advanced Grants,2022,Institute of Virology and Immunology,0,0
SNSF Consolidator Grants,2022,University of Geneva,3,5176584
SNSF Swiss Postdoctoral Fellowships,2024,AO Research Institute,0,0
SNSF Consolidator Grants,2022,Zurich University of Applied Sciences,0,0
SNSF Advanced Grants,2024,University of Geneva,2,3397682
SNSF Swiss Postdoctoral Fellowships,2021,University of St.Gallen,0,0
SNSF Advanced Grants,2021,University of Neuchatel,0,0
SNSF Starting Grants,2024,Graduate Institute of International and Development Studies,0,0
SNSF Advanced Grants,2021,University of Lausanne,1,2175000
SNSF Advanced Grants,2024,Other Research Institutes,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Swiss Federal Institute of Aquatic Science and Technology,1,274425
SNSF Starting Grants,2024,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Starting Grants,2022,Berne University of Applied Sciences,0,0
SNSF Starting Grants,2023,Swiss Federal Institute of Aquatic Science and Technology,2,3472267
SNSF Consolidator Grants,2023,Swiss Federal Institute of Sport Magglingen,0,0
SNSF Swiss Postdoctoral Fellowships,2022,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Advanced Grants,2022,University of Berne,1,1980561
SNSF Advanced Grants,2024,Università della Svizzera italiana,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Università della Svizzera italiana,0,0
SNSF Consolidator Grants,2023,EPF Lausanne,1,1823276
SNSF Swiss Postdoctoral Fellowships,2022,Research Institutes Agroscope,1,231837
SNSF Swiss Postdoctoral Fellowships,2022,Swiss Distance University Institute,0,0
SNSF Consolidator Grants,2023,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Starting Grants,2024,Paul Scherrer Institute,2,3524550
SNSF Swiss Postdoctoral Fellowships,2021,Research Institutes Agroscope,0,0
SNSF Starting Grants,2024,Companies/  Private Industry,1,1798568
SNSF Advanced Grants,2024,ETH Zurich,4,8498862
SNSF Advanced Grants,2024,University of Fribourg,0,0
SNSF Consolidator Grants,2022,University of Fribourg,2,3498727
SNSF Swiss Postdoctoral Fellowships,2024,Paul Scherrer Institute,1,262465
SNSF Swiss Postdoctoral Fellowships,2024,Research Institutes Agroscope,0,0
SNSF Starting Grants,2023,Università della Svizzera italiana,3,5378445
SNSF Advanced Grants,2021,Companies/  Private Industry,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),0,0
SNSF Swiss Postdoctoral Fellowships,2021,Zurich University of Applied Sciences,1,256000
SNSF Advanced Grants,2021,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Starting Grants,2022,Università della Svizzera italiana,3,4962624
SNSF Advanced Grants,2021,Institute of Virology and Immunology,0,0
SNSF Starting Grants,2023,Swiss Center for Electronics and Microtech.,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Paul Scherrer Institute,0,0
SNSF Starting Grants,2022,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Advanced Grants,2022,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Starting Grants,2022,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Consolidator Grants,2022,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2022,"Dipartimento formazione e apprendimento, Scuola universitaria professionale della Svizzera italiana – SUPSI-DFA",0,0
SNSF Advanced Grants,2024,Institute Friedrich Miescher,0,0
SNSF Advanced Grants,2022,"Swiss Federal Institute for Forest, Snow and Landscape Research ",1,2835087
